categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
mayusculas,COVID,COVID,BAjhQ3X,ID_Y_HEADER_EXISTEN,BAjhQ3X,COVID
empieza_con_mayuscula,Cribas,Cribas,BGAvibS,ID_Y_HEADER_EXISTEN,BGAvibS,Cribas
empieza_con_mayuscula,Cuasimodo,Cuasimodo,BTzDed5,ID_Y_HEADER_EXISTEN,BTzDed5,Cuasimodo
contiene_espacios,Cástor y Pólux,Cástor y Pólux,7rXwh8y,ID_Y_HEADER_EXISTEN,7rXwh8y,Cástor y Pólux
empieza_con_mayuscula,Damocles,Damocles,Br2uGNl,ID_Y_HEADER_EXISTEN,Br2uGNl,Damocles
empieza_con_mayuscula,David,David,Bt0oZcf,ID_Y_HEADER_EXISTEN,Bt0oZcf,David
mayusculas,DDT,DDT,BtBOXkO,ID_Y_HEADER_EXISTEN,BtBOXkO,DDT
mayusculas,DNA,DNA,E1xhjgs,ID_Y_HEADER_EXISTEN,E1xhjgs,DNA
mayusculas,DNI,DNI,E1yehOH,ID_Y_HEADER_EXISTEN,E1yehOH,DNI
empieza_con_mayuscula,Down,Down,EArj9SL,ID_Y_HEADER_EXISTEN,EArj9SL,Down
empieza_con_mayuscula,Duero,Duero,EF6Wx4Q,ID_Y_HEADER_EXISTEN,EF6Wx4Q,Duero
mayusculas,DVD,DVD,EITKPOm,ID_Y_HEADER_EXISTEN,EITKPOm,DVD
empieza_con_mayuscula,Edipo,Edipo,ENiddAk,ID_Y_HEADER_EXISTEN,ENiddAk,Edipo
empieza_con_mayuscula,Egeria,Egeria,EQAZIdN,ID_Y_HEADER_EXISTEN,EQAZIdN,Egeria
empieza_con_mayuscula,Egipto,Egipto,EQgpOy5,ID_Y_HEADER_EXISTEN,EQgpOy5,Egipto
contiene_espacios,El Escorial,El Escorial,EWzrcO6,ID_Y_HEADER_EXISTEN,EWzrcO6,El Escorial
empieza_con_mayuscula,Electra,Electra,ETecsKf,ID_Y_HEADER_EXISTEN,ETecsKf,Electra
mayusculas,ESO,ESO,GSANc3R,ID_Y_HEADER_EXISTEN,GSANc3R,ESO
empieza_con_mayuscula,España,España,GUQ1mFn,ID_Y_HEADER_EXISTEN,GUQ1mFn,España
empieza_con_mayuscula,Espinosa,Espinosa,GbefZRR,ID_Y_HEADER_EXISTEN,GbefZRR,Espinosa
empieza_con_mayuscula,Estocolmo,Estocolmo,Gu9qUA4,ID_Y_HEADER_EXISTEN,Gu9qUA4,Estocolmo
empieza_con_mayuscula,Etiopía,Etiopía,H4Ma8iH,ID_Y_HEADER_EXISTEN,H4Ma8iH,Etiopía
empieza_con_mayuscula,Europa,Europa,H6xQqF1,ID_Y_HEADER_EXISTEN,H6xQqF1,Europa
empieza_con_mayuscula,Eustaquio,Eustaquio,H7jc2tJ,ID_Y_HEADER_EXISTEN,H7jc2tJ,Eustaquio
empieza_con_mayuscula,Fahrenheit,Fahrenheit,HUii7L9,ID_Y_HEADER_EXISTEN,HUii7L9,Fahrenheit
empieza_con_mayuscula,Falopio,Falopio,HYXomjk,ID_Y_HEADER_EXISTEN,HYXomjk,Falopio
empieza_con_mayuscula,Fernambuco,Fernambuco,HmW8ay8,ID_Y_HEADER_EXISTEN,HmW8ay8,Fernambuco
empieza_con_mayuscula,Flandes,Flandes,I375Q8h,ID_Y_HEADER_EXISTEN,I375Q8h,Flandes
empieza_con_mayuscula,Florencia,Florencia,I6lX71l,ID_Y_HEADER_EXISTEN,I6lX71l,Florencia
empieza_con_mayuscula,Florida,Florida,I7GzDzL,ID_Y_HEADER_EXISTEN,I7GzDzL,Florida
empieza_con_mayuscula,Francia,Francia,IOEl3hJ,ID_Y_HEADER_EXISTEN,IOEl3hJ,Francia
empieza_con_mayuscula,Frisia,Frisia,IV60T4d,ID_Y_HEADER_EXISTEN,IV60T4d,Frisia
empieza_con_mayuscula,Gambia,Gambia,IokGGhF,ID_Y_HEADER_EXISTEN,IokGGhF,Gambia
