rae_id,csv_entry,returned_ids,returned_headers
3587fNl,aparcera,35BjOKs,"aparcero, ra"
36BVZHD,aparthotel,36FNo5r,apartotel
387ROkb,apena,38BNs6H | 38A2Ydc,apenas | apenar
3Bnk9aC,aplanadora,3BmF2qv,"aplanador, ra"
3EZzYZ4,apologética,3EcrVBn,"apologético, ca"
3Esaliv,apolonida,3EtEzRl,apolónida
3J9k4Dc,apretadera,3J9rXg0,"apretadero, ra"
3MBgAno,aquella,3M6wlMC,"aquel, lla"
3MH8U50,aquelo,3M9i4a1,"aquele, la"
3MZX30e,aqueso,3MYlU6E,"aquese, sa"
3Md6DX9,aquesto,3MckQqi,"aqueste, ta"
3OFFcWZ,-arada,0gYeQoM,-ada
3OcnTet,-arajo,1Nu2z6d,"-ajo, ja"
3SU3cyR,archiduquesa,3STr7Ti,"archiduque, quesa"
3SomXeN,archivística,3SpBkXD,"archivístico, ca"
3TGhZfI,arcoíris,3TE56ZB | 3TE56ZB#4Kix0xA,arco | arco
3TTn0OY,-arda,3U7qnfa,"-ardo, da"
3UT4ta2,-areda,ENv5qJU,"-edo, da"
3UdKnnj,areíto,3UdGuUV,areito
3UxKkhT,arenisca,3UxN1QC,"arenisco, ca"
3V9YwMg,aréola,3V79R5n,areola
3WoUD5H,argentada,3Wp8xnz | 3Wv1EXe,"argentado, da | argentar"
3X7nqyn,argentina,3XARJD9 | 3XC9wdg,"argentino<sup>1</sup>, na | argentino<sup>2</sup>, na"
3Xu4kOT,argüendera,3XuLYgn,"argüendero, ra"
3YOm1pz,-aria,3YvWLaw,"-ario, ria"
3Z5mYIH,arismética,3Z7XsIG,"arismético, ca"
3Zrrqep,aritmética,3Zs8Q6J,"aritmético, ca"
3ZwMhhL,arlequinada,3ZxMhXY,"arlequinado, da"
3a7CFRY,armada,3aI7Hp5 | 3aoPllh,"armado<sup>1</sup>, da | armar"
3aPm9R1,armadora,3aKWEfi,"armador, ra"
3bdHChy,armoníaco,3bct1NA,armoniaco
3bfmifA,armónica,3bjLhrJ,"armónico, ca"
3eFSnB4,arracacha,3eI9m2J,"arracacho, cha"
3eWZduP,-arrada,0gYeQoM,-ada
3ee1Ofg,arraigada,3efvnhy | 3eqEdmG,"arraigado, da | arraigar"
3evVv2y,-arrajo,1Nu2z6d,"-ajo, ja"
3fEFSmb,arrancadora,3fBWED5,"arrancador, ra"
3jPItMa,arrepentida,3jTr3en | 3jV9izh,"arrepentido, da | arrepentirse"
3li1D1e,"-arro, rra",3m5KHbm | 3mK5eTP | 3neRAUD | 3nshKZj,"arrobero, ra | arrocero, ra | arropera | arrostrar"
3m7CzBr,arrocera,3mK5eTP,"arrocero, ra"
3nOEaqM,-arrón,R3Ff5cR,"-ón<sup>1</sup>, na"
3sJMItT,artos,3s9L6pn,arto
3sjnVrP,artroscopía,3senZyT,artroscopia
3uPK9SU,asafétida,3tdnEqh | 3tdnEqh#0IaRCFI,asa<sup>2</sup> | asa<sup>2</sup>
3vysEfT,ascética,3w0Of9Y,"ascético, ca"
3wGcnoF,"-asco, ca",3wMJWgR | 3wOMn3j,"ascoroso, sa | ascoso, sa"
3yCWYes,aserradora,3yBCtQO,"aserrador, ra"
3zHGebA,asfaltadora,3zH6tUp,"asfaltador, ra"
406ILth,asimétrica,406k0fU,"asimétrico, ca"
411V9qv,-asis,Y1ULCxP,-sis
416Tos5,asistenta,416WFrl,"asistente, ta"
41AeRM9,askenazi,41GB6JM,askenazí
41RlV0z,asna,41mQdfw,"asno, na"
44ExbGp,aspiradora,44D2dGO,"aspirador, ra"
44Ss2hm,asquenazi,41GB6JM,askenazí
44WBVCI,asquenazí,41GB6JM,askenazí
45Zlbwf,-astra,469POuD,"-astro, tra"
45mqEge,astrakán,45gGl6Z,astracán
45s6f5P,-astre,469POuD,"-astro, tra"
46EQ9Ky,astrofísica,46Efz67,"astrofísico, ca"
46SgWle,"-astrón, na",46kfNvM,"astrónomo, ma"
46bhajo,astronáutica,46dyNea,"astronáutico, ca"
481XZob,-ata,4GZKKGk,"-ato<sup>1</sup>, ta"
4GU1ZFH,atmosfera,4GWCizq,atmósfera
4Kc0BjZ,atríaca,4KYsNxz,atriaca
4Lz9hWl,atunera,4LzMp0r,"atunero, ra"
4QfoIPr,auténtica,4QjqWMu,"auténtico, ca"
4Rqb3gM,autocrítica,4Rs9NlN,"autocrítico, ca"
4TEQIWB,autólisis,4TDcmeT,autolisis
4TMrILg,automática,4TO3M08,"automático, ca"
4WbdXIG,avanzada,4WjlsYm | 4Wkx0yy,"avanzado, da | avanzar"
4XVhF4b,avellanera,4XWyzNa,"avellanero, ra"
4ZAqHWN,aviada,4ZB97MJ | 4ZNca8Z,"aviado, da | aviar<sup>1</sup>"
4bLPubz,axiomática,4bO6PH0,"axiomático, ca"
4bwzYRg,ayatola,4c2TduR,ayatolá
4crOWjF,-aza,4exBytk,"-azo, za"
4dEmlvR,azafata,4dH40TO,"azafato, ta"
4dc28MI,azálea,4dbijIl,azalea
4eiKaWU,ázigos,0Tq2v8U,ácigos
4ejZSJ5,azimut,0Tzdf1q,acimut
4ejje40,azimutal,0U1VOjx,acimutal
4fDZ8uA,azoe,4fEKpjf | 4f9dQY4,ázoe | azoar
4ghk9Wr,azucarera,4gnKBJi,"azucarero, ra"
4hEvZey,azufrera,4hFAI2Z,"azufrero, ra"
4hrK8hF,azulona,4hpbyp8,"azulón, na"
4iygsO0,babosa,4j5JZ8F,"baboso, sa"
4kU7Nfn,baciloscopía,4kU7Nfh,baciloscopia
4lXYG8E,baden,4lXrTfV,badén
4mUXVQO,baguala,4mQpaeC,"bagual, la"
4mto7ZL,bahreiní,54zr4H9,bareiní
4nQU5TK,bailarina,4nOn6Bt,"bailarín, na"
4oioopc,bajera,4olALCN,"bajero, ra"
4ov1qQc,bajinis,4ouIMjF,bajini
4qfaCEU,balano,4qnE3R4,bálano
4rF0Frq,balaustrada,4rIcR6z,"balaustrado, da"
4rPvE9s,balaústre,4rOCglH,balaustre
4tffRcZ,balística,4thgA3O,"balístico, ca"
4tygqH8,ballenera,4tzqkGu,"ballenero, ra"
4vafaRL,bámbara,4vaeRMK,bambara
4z27tUl,bañera,4z2q42m,"bañero, ra"
50A4Bjr,baraca,50gvRqb,baraka
51RHZZX,baraúnda,50I0glY,barahúnda
52OzZPv,barbera,52V5VRU,"barbero<sup>1</sup>, ra"
55Pw6gD,barísfera,55Pw4YD,barisfera
