old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
3EZzYZ4,apologética,RELATED_RESULT,3EcrVBn,"apologético, ca",,,
3m7CzBr,arrocera,RELATED_RESULT,3mK5eTP,"arrocero, ra",,,
A6HPZHh,cóncava,RELATED_RESULT,A6LrZQV,"cóncavo, va",,,
B1t9kXz,cortapluma,RELATED_RESULT,B1tuqmV,cortaplumas,,,
7ejaEyd,carpintera,RELATED_RESULT,7erTCHV,"carpintero, ra",,,
3li1D1e,"-arro, rra",RELATED_RESULT,3m5KHbm | 3mK5eTP | 3neRAUD | 3nshKZj,"arrobero, ra | arrocero, ra | arropera | arrostrar",,,
AS91DPA,consubstanciación,RELATED_RESULT,AT9beil,consustanciación,,,
5Vqc7J7,-bilidad,RELATED_RESULT,BotFPGe,-dad,,,
4Kc0BjZ,atríaca,RELATED_RESULT,4KYsNxz,atriaca,,,
3jPItMa,arrepentida,RELATED_RESULT,3jTr3en | 3jV9izh,"arrepentido, da | arrepentirse",,,
BWdnJoE,cubreboca,RELATED_RESULT,BWdoJn4,cubrebocas,,,
78IvfcH,cangrejera,RELATED_RESULT,78KQ8E4,"cangrejero, ra",,,
2XMJWuw,-anca,RELATED_RESULT,2Y5X5Eg,"-anco, ca",,,
3fEFSmb,arrancadora,RELATED_RESULT,3fBWED5,"arrancador, ra",,,
4rPvE9s,balaústre,RELATED_RESULT,4rOCglH,balaustre,,,
79DXJoP,canillera,RELATED_RESULT,79HoBoa,"canillero, ra",,,
60sKeqS,boyera,RELATED_RESULT,60uUq3L,"boyero, ra",,,
3a7CFRY,armada,RELATED_RESULT,3aI7Hp5 | 3aoPllh,"armado<sup>1</sup>, da | armar",,,
7LZoORt,capotera,RELATED_RESULT,7LaBzbg,"capotero, ra",,,
3evVv2y,-arrajo,RELATED_RESULT,1Nu2z6d,"-ajo, ja",,,
6LI5faN,buscavida,RELATED_RESULT,6LKCbIR,buscavidas,,,
1FL4mvJ,agüizote,RELATED_RESULT,1K8Sj81,ahuizote,,,
2XRMrCg,ancha,RELATED_RESULT,2XUmTEA | 2XSD5sK,"ancho, cha | anchar",,,
3ee1Ofg,arraigada,RELATED_RESULT,3efvnhy | 3eqEdmG,"arraigado, da | arraigar",,,
AZx3efC,contralmirantazgo,RELATED_RESULT,AWILhsV,contraalmirantazgo,,,
3eWZduP,-arrada,RELATED_RESULT,0gYeQoM,-ada,,,
AERx2Xv,confesa,RELATED_RESULT,AEmbN5l,"confeso, sa",,,
EGhRAQD,dupla,RELATED_RESULT,EH90FG5,"duplo, pla",,,
AdHIc0f,contratacar,RELATED_RESULT,AWVad4j,contraatacar,,,
9H4OqJa,cinquena,RELATED_RESULT,9H5UcTI,"cinqueno, na",,,
BSqfET2,cuarta,RELATED_RESULT,BTctS7T | BSySegy,"cuarto, ta | cuartar",,,
5H3fw93,be bop,RELATED_RESULT,5H3Zt32,<i>bebop</i>,,,
AZsE5dx,contralla,RELATED_RESULT,AZx0Yqz,"contrallo, lla",,,
9Fe9QPk,cincograbado,RELATED_RESULT,cRNT41z,zincograbado,,,
3eFSnB4,arracacha,RELATED_RESULT,3eI9m2J,"arracacho, cha",,,
BSb8dsI,cuarentena,RELATED_RESULT,BSfJqN5 | BSdmK5a,"cuarenteno, na | cuarentenar",,,
5HOYcjh,becerra,RELATED_RESULT,5HcnR2I,"becerro, rra",,,
3zHGebA,asfaltadora,RELATED_RESULT,3zH6tUp,"asfaltador, ra",,,
AxsDdFb,corregüela,RELATED_RESULT,AxxFP9h,correhuela,,,
7rS8mv2,castora,RELATED_RESULT,7rS44Ow,"castor, ra",,,
EBR9ret,dragona,RELATED_RESULT,EBQTIka,"dragón, na",,,
46EQ9Ky,astrofísica,RELATED_RESULT,46Efz67,"astrofísico, ca",,,
3bfmifA,armónica,RELATED_RESULT,3bjLhrJ,"armónico, ca",,,
5FyXtUH,beata,RELATED_RESULT,5GSbDF5,"beato, ta",,,
1Ntkz8o,ajó,RELATED_RESULT,1NtOBr1 | 1MAq8B5,ajo<sup>3</sup> | ajar<sup>2</sup>,,,
Ac9LDFj,contrargumentación,RELATED_RESULT,AWMliou,contraargumentación,,,
1lwOn0d,alfonsina,RELATED_RESULT,1lxAFhQ,"alfonsino, na",,,
B2M7oOy,cortesana,RELATED_RESULT,B2QulrS,"cortesano, na",,,
8tm4qRu,chismosa,RELATED_RESULT,8tn7bze,"chismoso, sa",,,
7WjA322,careta,RELATED_RESULT,7WkzoUN,"careto, ta",,,
BRMztn0,cualesquier,RELATED_RESULT,BRgGL9X,cualquiera,,,
50A4Bjr,baraca,RELATED_RESULT,50gvRqb,baraka,,,
B3hnZ6F,corvina,RELATED_RESULT,B3plfIL,"corvino, na",,,
7OhMinJ,característica,RELATED_RESULT,7OiMmZE,"característico, ca",,,
ADRsbKZ,conejera,RELATED_RESULT,ADT1wFE,"conejero, ra",,,
8RXKnhP,chachaguata,RELATED_RESULT,8Ra7zG7,"chachaguato, ta",,,
