old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
MARIt0X,"isíaco, ca",NOT_FOUND,,,,,
MBUMR3M,"isóbaro, ra",NOT_FOUND,,,,,
MPsjorR,"jeremiaco, ca",NOT_FOUND,,,,,
MUOBIeH,"jirocho, cha",NOT_FOUND,,,,,
Mhg5lmX,"kiosquero, ra",NOT_FOUND,,,,,
NOL9SnQ,"lipemaníaco, ca",NOT_FOUND,,,,,
NXSzIBk,"lobo, ba",NOT_FOUND,,,,,
NyXEubo,"malaconsejado, da",NOT_FOUND,,,,,
NzQmzqB,"malavenido, da",NOT_FOUND,,,,,
NzjRv5r,"malayo-polinesio, sia",NOT_FOUND,,,,,
O04rVoE,"malcontentadizo, za",NOT_FOUND,,,,,
O0cQ6zl,"maldispuesto, ta",NOT_FOUND,,,,,
OD9l0b7,"maniaco, ca",NOT_FOUND,,,,,
ODAhChT,"maniaco-depresivo, va",NOT_FOUND,,,,,
OPsXd8y,"mariguanero, ra",NOT_FOUND,,,,,
OnWpMMY,"mejicano, na",NOT_FOUND,,,,,
P4lopv6,"metáfito, ta",NOT_FOUND,,,,,
PRATkk0,"mixtificador, ra",NOT_FOUND,,,,,
PghloUN,"monomaniaco, ca",NOT_FOUND,,,,,
PlRxReo,"moquehuano, na",NOT_FOUND,,,,,
QD89ESD,"naguatlato, ta",NOT_FOUND,,,,,
QNrpdW4,"nemotécnico, ca",NOT_FOUND,,,,,
QNotlhJ,"nemónico, ca",NOT_FOUND,,,,,
QOuIpYC,"neomejicano, na",NOT_FOUND,,,,,
QVMrT4q,"nilo-sahariano, na",NOT_FOUND,,,,,
QVbqDuu,"ninfomaniaco, ca",NOT_FOUND,,,,,
QahcG2F,"nomónico, ca",NOT_FOUND,,,,,
QgUB3XJ,"novomejicano, na",NOT_FOUND,,,,,
QNGD2j5,"néisico, ca",NOT_FOUND,,,,,
Qa6TRPY,"nómico, ca",NOT_FOUND,,,,,
QdhWm3A,"nóstico, ca",NOT_FOUND,,,,,
QoeGx6G,"obscuro, ra",NOT_FOUND,,,,,
QyCyoEo,"ojizaíno, na",NOT_FOUND,,,,,
R0QXKjc,"olimpíaco, ca",NOT_FOUND,,,,,
RpXvw7Z,"paradisiaco, ca",NOT_FOUND,,,,,
RsdBNMe,"parasicológico, ca",NOT_FOUND,,,,,
RseaLY0,"parasicólogo, ga",NOT_FOUND,,,,,
SPZS2DV,"peloponesíaco, ca",NOT_FOUND,,,,,
SWcUJuS,"pequinés, sa",NOT_FOUND,,,,,
SjcUDpP,personalísimo,NOT_FOUND,,,,,
T1zxdnV,"pinado, da",NOT_FOUND,,,,,
TWPEfVm,"policiaco, ca",NOT_FOUND,,,,,
TXjluUB,"poligloto, ta",NOT_FOUND,,,,,
TWsXWpQ,"polícromo, ma",NOT_FOUND,,,,,
TosIAmy,"postbélico, ca",NOT_FOUND,,,,,
TosQmzL,"postclásico, ca",NOT_FOUND,,,,,
Tp6E5Cx,"postdiluviano, na",NOT_FOUND,,,,,
TpVnKuj,"postfijo, ja",NOT_FOUND,,,,,
TpXywpS,"postgraduado, da",NOT_FOUND,,,,,
TpuoZSp,"postmeridiano, na",NOT_FOUND,,,,,
Tpz79K1,"postmoderno, na",NOT_FOUND,,,,,
Tq2w5Ja,"postoperatorio, ria",NOT_FOUND,,,,,
TqCYD69,"postpositivo, va",NOT_FOUND,,,,,
TqZk9hf,"postromántico, ca",NOT_FOUND,,,,,
U4qnp9e,"presago, ga",NOT_FOUND,,,,,
UPq41Qi,"proscripto, ta",NOT_FOUND,,,,,
UF945Jo,"prócero, ra",NOT_FOUND,,,,,
UVpo7R6,"pseudocientífico, ca",NOT_FOUND,,,,,
UVwLVrn,"pseudónimo, ma",NOT_FOUND,,,,,
UXlBudf,"pteridófito, ta",NOT_FOUND,,,,,
Ud6GcbP,"pulmoniaco, ca",NOT_FOUND,,,,,
UrVvGFB,"quilométrico, ca",NOT_FOUND,,,,,
UtZggCx,"quinesiológico, ca",NOT_FOUND,,,,,
UtbZoL7,"quinesioterápico, ca",NOT_FOUND,,,,,
UtfKHjf,"quinesiterápico, ca",NOT_FOUND,,,,,
Uta2zuO,"quinesiólogo, ga",NOT_FOUND,,,,,
